Date,Close
2015-02-07 00:00:00,222.48
2015-02-07 00:01:00,222.68
2015-02-07 00:02:00,222.71
2015-02-07 00:03:00,222.68
2015-02-07 00:04:00,222.7
2015-02-07 00:05:00,222.67
2015-02-07 00:06:00,222.74
2015-02-07 00:07:00,222.65
2015-02-07 00:08:00,222.78
2015-02-07 00:09:00,222.71
2015-02-07 00:10:00,222.6
2015-02-07 00:11:00,222.74
2015-02-07 00:12:00,222.77
2015-02-07 00:13:00,222.64
2015-02-07 00:14:00,222.58
2015-02-07 00:15:00,222.62
2015-02-07 00:16:00,222.68
2015-02-07 00:17:00,222.68
2015-02-07 00:18:00,222.69
2015-02-07 00:19:00,222.62
2015-02-07 00:20:00,222.65
2015-02-07 00:21:00,222.66
2015-02-07 00:22:00,222.71
2015-02-07 00:23:00,222.83
2015-02-07 00:24:00,222.86
2015-02-07 00:25:00,222.9
2015-02-07 00:26:00,222.96
2015-02-07 00:27:00,222.97
2015-02-07 00:28:00,223.02
2015-02-07 00:29:00,223.04
2015-02-07 00:30:00,223.14
2015-02-07 00:31:00,223.35
2015-02-07 00:32:00,223.32
2015-02-07 00:33:00,223.25
2015-02-07 00:34:00,223.25
2015-02-07 00:35:00,223.31
2015-02-07 00:36:00,223.43
2015-02-07 00:37:00,223.43
2015-02-07 00:38:00,223.59
2015-02-07 00:39:00,223.62
2015-02-07 00:40:00,223.74
2015-02-07 00:41:00,223.77
2015-02-07 00:42:00,223.88
2015-02-07 00:43:00,223.77
2015-02-07 00:44:00,223.75
2015-02-07 00:45:00,223.72
2015-02-07 00:46:00,223.81
2015-02-07 00:47:00,223.98
2015-02-07 00:48:00,223.74
2015-02-07 00:49:00,223.73
2015-02-07 00:50:00,223.61
2015-02-07 00:51:00,223.42
2015-02-07 00:52:00,223.4
2015-02-07 00:53:00,223.36
2015-02-07 00:54:00,223.45
2015-02-07 00:55:00,223.49
2015-02-07 00:56:00,223.56
2015-02-07 00:57:00,223.48
2015-02-07 00:58:00,223.65
2015-02-07 00:59:00,223.55
2015-02-07 01:00:00,223.53
2015-02-07 01:01:00,223.53
2015-02-07 01:02:00,223.44
2015-02-07 01:03:00,223.49
2015-02-07 01:04:00,223.55
2015-02-07 01:05:00,223.54
